work_id,title,year,journal,publisher,issn,volume,issue,pages,doi,citation_count,abstract,author_id,source
https://openalex.org/W4210647064,Designing an Educational Website regarding Recycling of Plastic Waste into Roads,2021,,Universitas Pendidikan Indonesia (UPI),2775-6815;2775-6793,1,3,135-140,https://doi.org/10.17509/ajsee.v1i3.33755,8,"Plastic waste is closely related to the environment, which also human life. The impact of that we can feel flooding. very difficult decompose naturally; thus, it has not been a serious concern due lack awareness environment. purpose this research educate public so plastic be processed into something useful by recycling paving blocks for roads. method used was qualitative methods. This study discusses design an educational website about aims more concerned environment utilizing research’s discussion community and create cares benefit society process their independently.",https://openalex.org/A5048632251,openalex+crossref
https://openalex.org/W3215723935,Kompetensi wirausaha dan gaya kepemimpinan terhadap keberhasilan usaha : (studi kasus pada usaha kecil menengah sepatu Cibaduyut),2014,,,,,,,,1,The research was conducted on the owner or manager of a shoes business in central UKM Shoes Cibaduyut. Phenomenon that occurs is dcecline revenues profits entreprenuers centeral Cibaduyut causing decline number employers.The purpose this to determine how much influence entrepreneurial competence andleadership style success bussiness,https://openalex.org/A5048632251,openalex
https://openalex.org/W2784401774,Metode riset online,2014,,,,,,,,0,"Buku ini menjawab persoalan riset online yang berbasis pada aturan dan kaidah metodologi benar. Diantarnya membas pengertian online, mekanisme prosedru sampai dengan membuat aplikasi kuesioner elektronik HTML,PHP CSS.",https://openalex.org/A5048632251,openalex
https://openalex.org/W2210614275,PERBANDINGAN METODE JARINGAN SYARAF TIRUAN BACKPROPAGATION DAN LEARNING VECTOR QUANTIZATION PADA PENGENALAN WAJAH,2012,,,,,,,,48,"Pengenalan wajah merupakan suatu bidang yang masih terus diteliti dan dikembangkan untuk berbagai keperluan seperti absensi, pendataan penduduk, sistem keamanan lain-lain. Metode kecerdasan buatan khususnya jaringan syaraf tiruan (JST) backpropagation learning vector quantization adalah dua metode sering digunakan aplikasi pengenalan wajah. Kedua tersebut pembelajaran terawasi biasa dipakai pola secara tipikal, yaitu mengelompokkan pola-pola ke dalam kelas-kelas pola, sehingga tepat Dalam ini, dilakukan preprocessing citra terhadap masukan sebelum diolah JST, diantaranya proses scalling, grayscale, edgedetection dengan sobel thresholding. Sedangkan JST mengenali antara lain quantization.",https://openalex.org/A5052898875,openalex
https://openalex.org/W2756237186,RANCANG BANGUN APLIKASI CHATBOT INFORMASI OBJEK WISATA KOTA BANDUNG DENGAN PENDEKATAN NATURAL LANGUAGE PROCESSING,2015,,Universitas Komputer Indonesia,2715-7849;2089-9033,4,1,49-54,https://doi.org/10.34010/komputa.v4i1.2410,32,"Informasi adalah bagian penting dalam kehidupan sehari-hari, dimana informasi tersebut diharapkan bisa didapat dengan lebih cepat. Penyampaian akurat dan jelas. Berdasarkan hasil wawancara terhadap beberapa pengunjung website pariwisata kota Bandung dapat disimpulkan bahwa untuk mencari alamat tempat wisata, harus melihat satu per data yang ada. Atas dasar masalah perlu dibuat sebuah aplikasi menarik interaktif, mendapatkan wisata melakukan tanya jawab kepada sistem layaknya model diskusi. Aplikasi menggunakan bahasa sehari-hari atau alami (natural language) merupakan media digunakan manusia saling berkomunikasi antar sesama. Pada penelitian ini dilakukan pembangunan chatbot objek Bandung. Tujuannya mempermudah menemukan dibutuhkan, yaitu mengenai tempat-tempat wisata. dibangun pendekatan Natural Language Processing. medote text mining sebagai penalarannya. Pemodelan Unified Model Language. Dari pengujian setuju memudahkan ada di Tanya percakapan terjadi seakan-akan oleh dua pribadi berkomunikasi. Selain itu, memperoleh",https://openalex.org/A5052898875,openalex+crossref
https://openalex.org/W2991026430,Aplikasi Chatbot Speak English Media Pembelajaran Bahasa Inggris Berbasis Android,2019,,Universitas Komputer Indonesia,2655-3198;2252-9039,8,2,99-109,https://doi.org/10.34010/komputika.v8i2.2273,23,"Kemampuan Bahasa Inggris yang baik tentu akan menjadi modal kompetitif, dalam bidang pendidikan maupun pekerjaan.Teknologi chatbot adalah merupakan teknologi dapat dimanfaatkaan sebagai solusi untuk permasalahan lingkup edukasi. Beberapa penelitian telah membuktikan pemanfaatan media belajar, terutama pembelajaran Inggris. Disamping itu, sumber daya mendukung pengembangan sudah cukup banyak tersedia, seperti API mempermudah pembuatan Dialogflow digunakan pada ini. Metode ini ialah berlatih dan evaluasi mandiri. Adapun tools pendukung Languagetool koreksi grammar, Google Speech Recogntion Text-to-Speech menyediakan antarmuka voice chat. Penelitian membahas tentang chatbot, tepatnya dengan membangun sebuah aplikasi android latihan percakapan hasil pengujian menyimpulkan bahwa 63,96% pengguna menyatakan setuju fitur dikembangkan tersebut. Pengguna setuju, sistem dibangun tersebut, yakni Inggris, selain itu juga terbantu adanya fitur-fitur chat, kesalahan, log harian Kata Kunci â€“ Chatbot; Pembelajaran Inggris; API; Languangetool Text-To-Speech.",https://openalex.org/A5052898875,openalex+crossref
https://openalex.org/W3110825556,Disrupting Agro-industry Supply Chain in Indonesia With Blockchain Technology: Current and Future Challenges,2020,,IEEE,,,,1-6,https://doi.org/10.1109/citsm50537.2020.9268872,22,"This paper provides an overview of the problems agro-industrial supply chains in Indonesia. becomes important because Indonesia has a very diverse agro-industrial. Starting from agro-agricultural industry, agro-plantation agro-livestock industry to agro-fishing industry. The problem that is often encountered length chain which involves many intermediaries, communication data and information still lacking, lack quality assurance product safety. Blockchain technology characteristics can disrupt agro-industry chain. Its ability store makes transactions made through blockchain more transparent, reliable, secure. research methods used include identifying problems, potential blockchain, mapping into their solutions, providing recommendation model. At end conclusion this study, was apply overcome today future.",https://openalex.org/A5052898875,openalex+crossref
https://openalex.org/W4289865886,Implementation of Gamification in Mathematics m-Learning Application to Creating Student Engagement,2022,,The Science and Information Organization,2156-5570;2158-107X,13,7,,https://doi.org/10.14569/ijacsa.2022.0130765,16,"Mathematics is one of the main subjects in school. In some schools, learning methods used are still using conventional methods, namely lectures and exercises. The difficulty mathematics how to make material presented more interesting so that it does not students bored easy understand material. use an attitude interest games knows no age various advantages gives rise a combination mechanisms called gamification. Gamification process applying game mechanics non-game activities increase user interactivity. m-learning application was developed Attention, Relevance, Confidence, Satisfaction (ARCS) model octalysis framework gamification method. this applies strategy system levels, missions, challenges, points, progress bars, leader boards, badges. results study indicate can be as alternative medium for student engagement with result applied by 35%, motivation 33%, improve understanding 42% towards mathematics.",https://openalex.org/A5052898875,openalex+crossref
https://openalex.org/W4312466229,Transformation Model of Smallholder Oil Palm Supply Chain Ecosystem using Blockchain-Smart Contract,2022,,The Science and Information Organization,2156-5570;2158-107X,13,11,,https://doi.org/10.14569/ijacsa.2022.0131165,9,"The development of new technology has the potential to disrupt and transform an existing system as well information technology. This study aims build a proposed model in order old into Blockchain-based system. smallholder oil palm supply chain currently uses traditional technology, hence its integrity, transparency, security are vulnerable. To solve this problem, frontier is needed, such blockchain, which trust, traceable characteristics improve performance quality. method used was digital transformation context operational processes In addition, As-Is To-Be mechanism develop for Specifically, implemented identifying analyzing already system, while determine blockchain characteristics. becomes Blockchain technology-based. Also, prospective were produced aspect transactions, data, architecture, flow change strategies needed blockchain-based",https://openalex.org/A5052898875,openalex+crossref
https://openalex.org/W2892743407,Development of E-Diploma System Model with Digital Signature Authentication,2018,,IOP Publishing,1757-899X,407,,012109,https://doi.org/10.1088/1757-899x/407/1/012109,19,"The purpose of developing an e-diploma system model is to provide overview digital files that can be used as documents have the same validity paper documents. obtained through signature authentication so in future use synchronized with a paper-based diploma. method develop descriptive qualitative. result research model. A printed diploma has vulnerability must considered. Basically, are easily lost and damaged. Digital signatures mechanisms guarantee authenticity form certificates. certificates issued by state maintain its integrity. attached An E-Diploma given companion original developed show may considered valid document future, long it authenticated signatures.",https://openalex.org/A5052898875,openalex+crossref
